                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.88507,                0.43417,                 1.0998,                0.87026,                0.84224,                0.88342,                0.58386,                 1.0364,                0.45109,                 1.2876,               0.005644,               0.005644,               0.005644
                     47,                0.87889,                0.43309,                 1.0997,                0.88514,                0.82841,                0.88443,                0.58425,                 1.0355,                0.45347,                 1.2907,               0.005545,               0.005545,               0.005545
                     48,                0.86597,                0.42509,                  1.087,                0.86681,                0.84339,                0.88285,                0.58342,                 1.0351,                 0.4542,                 1.2912,               0.005446,               0.005446,               0.005446
                     49,                0.86356,                0.42515,                 1.0909,                0.87868,                0.83257,                0.88271,                0.58404,                 1.0361,                0.45736,                 1.2933,               0.005347,               0.005347,               0.005347
                     50,                0.86068,                0.42105,                 1.0916,                0.87872,                0.83298,                0.88116,                0.58288,                 1.0383,                0.45942,                 1.2979,               0.005248,               0.005248,               0.005248
                     51,                0.85113,                0.41831,                 1.0835,                0.87166,                 0.8379,                0.88062,                0.58193,                 1.0381,                 0.4587,                 1.2996,               0.005149,               0.005149,               0.005149
                     52,                 0.8472,                0.41423,                  1.073,                0.87026,                 0.8393,                0.88046,                 0.5827,                  1.039,                0.46058,                 1.3013,                0.00505,                0.00505,                0.00505
                     53,                0.84508,                0.41271,                 1.0775,                0.86994,                0.84015,                0.88041,                0.58186,                 1.0383,                0.46356,                 1.3041,               0.004951,               0.004951,               0.004951
                     54,                 0.8315,                0.40929,                 1.0724,                0.86946,                0.83724,                0.87922,                0.58081,                 1.0376,                0.46299,                 1.3051,               0.004852,               0.004852,               0.004852
                     55,                0.82519,                0.40752,                 1.0739,                  0.874,                0.83342,                0.87949,                 0.5807,                 1.0383,                0.46263,                 1.3072,               0.004753,               0.004753,               0.004753
                     56,                 0.8249,                0.40385,                 1.0732,                0.86908,                0.83825,                0.87944,                0.57967,                 1.0393,                0.46478,                 1.3094,               0.004654,               0.004654,               0.004654
                     57,                0.81128,                0.40044,                 1.0551,                0.88123,                0.82939,                0.87901,                0.57923,                 1.0386,                0.46618,                 1.3077,               0.004555,               0.004555,               0.004555
                     58,                0.80655,                0.39436,                 1.0529,                0.88039,                0.82986,                0.87846,                0.57889,                 1.0388,                0.46618,                 1.3069,               0.004456,               0.004456,               0.004456
                     59,                0.80533,                0.39345,                 1.0544,                0.88083,                0.82908,                 0.8776,                0.57815,                 1.0398,                0.46686,                 1.3077,               0.004357,               0.004357,               0.004357
                     60,                0.79769,                 0.3892,                  1.048,                0.88101,                0.82764,                0.87709,                0.57834,                 1.0403,                0.46716,                 1.3086,               0.004258,               0.004258,               0.004258
                     61,                0.78722,                0.38416,                 1.0429,                0.88145,                0.82603,                0.87635,                0.57835,                 1.0402,                 0.4682,                 1.3089,               0.004159,               0.004159,               0.004159
                     62,                0.78832,                0.38764,                 1.0467,                0.88289,                0.82565,                0.87654,                0.57791,                   1.04,                0.46789,                 1.3096,                0.00406,                0.00406,                0.00406
                     63,                0.77848,                0.38229,                 1.0369,                0.88284,                0.82384,                 0.8764,                0.57797,                 1.0403,                0.46966,                 1.3088,               0.003961,               0.003961,               0.003961
                     64,                0.78193,                0.38112,                  1.044,                0.88365,                0.82235,                0.87596,                0.57756,                 1.0407,                0.46939,                 1.3094,               0.003862,               0.003862,               0.003862
                     65,                 0.7717,                0.37809,                 1.0355,                0.88388,                0.82449,                0.87649,                0.57784,                 1.0408,                  0.468,                 1.3084,               0.003763,               0.003763,               0.003763
                     66,                0.77048,                0.37637,                 1.0327,                0.88434,                 0.8229,                0.87591,                0.57787,                 1.0409,                0.46877,                  1.309,               0.003664,               0.003664,               0.003664
                     67,                0.75663,                0.37203,                 1.0306,                0.88316,                 0.8229,                0.87579,                0.57738,                 1.0406,                0.46807,                 1.3101,               0.003565,               0.003565,               0.003565
                     68,                0.75358,                0.36841,                 1.0283,                0.88049,                0.82501,                0.87571,                0.57797,                 1.0407,                 0.4681,                 1.3113,               0.003466,               0.003466,               0.003466
                     69,                0.74994,                0.36685,                 1.0261,                0.87914,                0.82604,                0.87528,                0.57798,                 1.0411,                0.46801,                 1.3126,               0.003367,               0.003367,               0.003367
                     70,                   0.74,                0.36314,                 1.0215,                0.87841,                0.82602,                0.87557,                0.57741,                 1.0416,                0.46812,                 1.3136,               0.003268,               0.003268,               0.003268
                     71,                0.73422,                0.36071,                 1.0154,                 0.8793,                0.82487,                0.87436,                0.57709,                  1.042,                0.46728,                 1.3146,               0.003169,               0.003169,               0.003169
                     72,                 0.7305,                 0.3578,                  1.018,                0.87755,                0.82599,                0.87403,                0.57682,                 1.0423,                0.46818,                 1.3154,                0.00307,                0.00307,                0.00307
                     73,                0.73292,                0.35798,                 1.0195,                0.87831,                0.82544,                0.87365,                0.57687,                 1.0424,                0.46879,                 1.3162,               0.002971,               0.002971,               0.002971
                     74,                0.72707,                0.35631,                 1.0116,                 0.8778,                0.82662,                0.87419,                0.57666,                 1.0424,                0.46801,                 1.3162,               0.002872,               0.002872,               0.002872
                     75,                0.72054,                 0.3547,                 1.0104,                0.87926,                0.82467,                0.87452,                 0.5767,                 1.0427,                0.46838,                 1.3167,               0.002773,               0.002773,               0.002773
                     76,                0.71041,                0.34835,                 1.0069,                0.87999,                0.82487,                 0.8742,                0.57681,                 1.0433,                0.46915,                 1.3175,               0.002674,               0.002674,               0.002674
                     77,                0.70353,                 0.3464,                 1.0046,                0.87958,                0.82544,                 0.8739,                0.57642,                 1.0431,                0.47039,                 1.3181,               0.002575,               0.002575,               0.002575
                     78,                0.70317,                0.34471,                 1.0069,                0.87717,                0.82583,                 0.8735,                0.57696,                 1.0433,                0.47055,                 1.3199,               0.002476,               0.002476,               0.002476
                     79,                0.69642,                0.34151,                 1.0017,                0.88078,                0.82209,                0.87312,                0.57687,                 1.0435,                0.47108,                  1.321,               0.002377,               0.002377,               0.002377
                     80,                0.69615,                0.34289,                0.99997,                0.88108,                 0.8212,                0.87267,                0.57675,                  1.044,                0.47116,                 1.3227,               0.002278,               0.002278,               0.002278
                     81,                0.68516,                0.33652,                0.99561,                0.88192,                0.82082,                0.87262,                0.57649,                 1.0446,                0.47124,                 1.3243,               0.002179,               0.002179,               0.002179
                     82,                 0.6816,                0.33297,                0.99161,                0.88039,                0.82287,                0.87216,                0.57657,                 1.0447,                0.47251,                 1.3255,                0.00208,                0.00208,                0.00208
