                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.80103,                0.39028,                 1.0543,                 0.8766,                0.82962,                0.87397,                0.57737,                 1.0662,                0.50878,                 1.3442,               0.004456,               0.004456,               0.004456
                     59,                0.79398,                0.38836,                 1.0488,                0.87521,                 0.8307,                0.87484,                0.57803,                 1.0661,                0.50842,                  1.344,               0.004357,               0.004357,               0.004357
                     60,                0.79399,                0.38737,                 1.0498,                0.87356,                0.83188,                0.87577,                0.57872,                 1.0656,                 0.5084,                 1.3437,               0.004258,               0.004258,               0.004258
                     61,                0.78767,                 0.3858,                  1.047,                0.87442,                0.83124,                0.87601,                 0.5795,                 1.0658,                0.50854,                 1.3435,               0.004159,               0.004159,               0.004159
                     62,                0.78128,                 0.3821,                 1.0475,                0.87493,                 0.8337,                0.87647,                0.57908,                 1.0659,                0.50923,                 1.3454,                0.00406,                0.00406,                0.00406
                     63,                0.77328,                 0.3784,                  1.044,                0.87332,                0.83244,                0.87642,                0.57882,                 1.0668,                 0.5078,                 1.3472,               0.003961,               0.003961,               0.003961
                     64,                0.76704,                0.37302,                 1.0348,                0.87449,                  0.833,                0.87632,                0.57856,                 1.0677,                0.50908,                 1.3481,               0.003862,               0.003862,               0.003862
                     65,                0.76398,                0.37555,                  1.039,                0.86944,                0.83597,                0.87626,                0.57897,                 1.0681,                0.50874,                 1.3509,               0.003763,               0.003763,               0.003763
                     66,                0.75867,                0.36995,                 1.0351,                0.87017,                0.83409,                0.87558,                0.57846,                 1.0682,                0.50857,                 1.3525,               0.003664,               0.003664,               0.003664
                     67,                0.75431,                0.36759,                 1.0287,                0.87096,                 0.8343,                0.87549,                0.57796,                 1.0681,                0.50915,                 1.3539,               0.003565,               0.003565,               0.003565
                     68,                0.74875,                0.36643,                 1.0296,                0.87136,                0.83489,                0.87503,                0.57805,                 1.0687,                0.51016,                  1.356,               0.003466,               0.003466,               0.003466
                     69,                0.73986,                0.36008,                 1.0254,                0.87225,                0.83391,                0.87461,                0.57738,                 1.0686,                0.51159,                 1.3578,               0.003367,               0.003367,               0.003367
                     70,                0.73981,                 0.3602,                 1.0218,                 0.8725,                0.83426,                0.87476,                0.57732,                 1.0687,                0.51234,                  1.359,               0.003268,               0.003268,               0.003268
                     71,                0.73258,                  0.358,                 1.0184,                 0.8711,                0.83399,                0.87426,                 0.5776,                 1.0684,                0.51161,                 1.3598,               0.003169,               0.003169,               0.003169
                     72,                0.72697,                0.35428,                  1.016,                0.87009,                 0.8332,                0.87396,                0.57729,                 1.0686,                0.51294,                 1.3609,                0.00307,                0.00307,                0.00307
                     73,                0.72477,                0.35408,                 1.0131,                0.86529,                0.83841,                0.87344,                 0.5774,                 1.0686,                0.51329,                 1.3619,               0.002971,               0.002971,               0.002971
                     74,                 0.7167,                0.35122,                 1.0139,                0.86169,                0.84052,                0.87289,                0.57697,                 1.0685,                0.51379,                 1.3628,               0.002872,               0.002872,               0.002872
                     75,                0.71651,                0.35185,                 1.0116,                0.86724,                0.83523,                0.87304,                  0.577,                 1.0688,                0.51444,                 1.3635,               0.002773,               0.002773,               0.002773
                     76,                0.70715,                0.34688,                 1.0083,                0.86313,                0.83923,                0.87325,                0.57692,                  1.069,                0.51528,                 1.3645,               0.002674,               0.002674,               0.002674
                     77,                0.70622,                0.34546,                 1.0066,                0.86374,                0.83758,                0.87289,                0.57752,                 1.0694,                0.51566,                 1.3658,               0.002575,               0.002575,               0.002575
                     78,                0.70164,                0.34335,                 1.0032,                0.86287,                0.83791,                0.87219,                0.57693,                 1.0693,                0.51474,                 1.3663,               0.002476,               0.002476,               0.002476
